Matricula,ID_Reclamacao,Grau_de_Insatisfacao
115210937,39,4
115210937,45,3
115210937,51,4
115210937,57,3
115210937,21,3
116110175,5,2
116110175,11,3
116110175,17,2
116110175,23,4
116110175,29,1
116110175,35,5
116110175,41,3
116110175,47,2
116110175,53,5
116110175,59,1
115211312,6,3
115211312,12,3
115211312,18,4
115211312,24,2
115211312,30,3
115211312,36,1
115211312,42,1
115211312,48,1
115211312,54,4
115211312,60,3
116110151,1,1
116110151,7,1
116110151,13,4
116110151,19,4
116110151,25,1
116110151,31,2
116110151,37,3
116110151,43,3
116110151,49,3
116110151,55,3
116110112,2,4
116110112,8,2
116110112,14,2
116110112,20,2
116110112,26,5
116110112,32,2
116110112,38,5
116110112,50,3
116110112,56,3
116110112,,
116210531,21,4
116210531,57,3
116210531,51,4
116210531,45,3
116210531,39,3
116210531,33,2
116210531,27,5
116210531,15,4
116210531,3,2
116210531,9,2
116110612,4,1
116110612,10,4
116110612,16,2
116110612,22,4
116110612,28,4
116110612,34,2
116110612,40,5
116110612,46,2
116110612,52,2
116110612,58,4
114210211,5,1
114210211,11,4
114210211,17,3
114210211,23,2
114210211,29,1
114210211,35,5
114210211,41,4
114210211,47,1
114210211,53,5
114210211,59,1
115110652,6,3
115110652,12,3
115110652,18,4
115110652,24,4
115110652,30,5
115110652,36,1
115110652,42,1
115110652,48,1
115110652,54,3
115110652,60,2
115210597,1,1
115210597,7,2
115210597,13,5
115210597,19,5
115210597,25,2
115210597,31,1
115210597,37,3
115210597,43,4
115210597,49,3
115210597,55,5
117210910,2,3
117210910,8,1
117210910,14,1
117210910,20,2
117210910,26,4
117210910,32,2
117210910,38,5
117210910,44,3
117210910,50,2
117210910,56,4
116110745,3,1
116110745,9,2
116110745,15,3
116110745,27,2
116110745,33,1
116110745,39,2
116110745,45,2
116110745,51,1
116110745,57,2
116110745,,
116110057,4,1
116110057,10,5
116110057,16,1
116110057,22,3
116110057,28,3
116110057,34,5
116110057,40,2
116110057,46,2
116110057,52,2
116110057,58,4
115210709,2,4
115210709,8,2
115210709,14,2
115210709,20,1
115210709,26,5
115210709,32,3
115210709,38,4
115210709,44,3
115210709,50,1
115210709,56,3
116110120,4,1
116110120,10,2
116110120,16,1
116110120,22,3
116110120,28,3
116110120,34,1
116110120,40,3
116110120,46,2
116110120,52,2
116110120,58,4
115210709,2,4
115210709,8,2
115210709,14,2
115210709,20,1
115210709,26,5
115210709,32,3
115210709,38,4
115210709,44,3
115210709,50,1
115210709,56,3
