id,orgao,data,titulo,texto,link,Grupo que vai avaliar,insatisfacao,avaliadores,range.avaliacoes
2,ANS,"Terça-feira, 26 de Fevereiro de 2019 - 08:49",Cabesp familia mensalidade absurda,Cabesp familia teve reajuste de 30% em 2 anos,https://cidadao.reclameaqui.com.br/406886/ans-agencia-nacional-de-saude-suplementar/cabesp-familia-mensalidade-absurda/,2,1,5,0
26,ANS,"Terça-feira, 28 de Março de 2017 - 16:26",Roll Totalmente prejudicial ao Cidadão,"Meu nome é RAPHAEL SIQUEIRA DE JESUS tenho 31 anos - São Paulo/ SP, pago convenio AMIL 400 empresarial..Carooo...a meses, Tenho ceratone nos 2 olhos . 47, e a ANS me coloca que somente apartir de 53 que o convenio pode cobrir? Isso é ridiculo, nao enxergo praticamente nada com o olho direito, onde precisava realizar a cirurgia de Implante de Anel de Ferrara, gostaria muito que avaliassem essas diretrizes para realizar esta cirugia, pq muitas pessoas como eu nao enxergam por conta disso, nao conseguem usar lentes ou oculos.. e precisavam muito dessa cirurgia e por conta que só apartir de 53^ os convenios cobrem!!! Tinha que cobrir em todos os casos de ceratone... pq nao é facil nao enxergar direito!!!",https://cidadao.reclameaqui.com.br/326329/ans-agencia-nacional-de-saude-suplementar/roll-totalmente-prejudicial-ao-cidadao/,2,2,6,1
34,ANATEL,"Quarta-feira, 24 de Abril de 2019 - 08:12",Cobrança Indevida desde março/19,"A empresa Puregreen Soluções Sustentáveis Com. e Serv. Ltda-ME, fez a portabilidade de 4 linhas que eram da Nextel para a VIVO PJ e adquiriu mais 2 linhas, no total o contrato são 6 linhas PJ da Vivo, onde desde julho/19 até fev/19 pagamos o valor de R$109,72.
No entanto tem alguns meses que a Vivo vinha enviando a conta no valor indevido e tínhamos que ligar para o atendimento reclamar e eles enviavam a conta no valor correto (de janeiro à fev/19 - protocolos : 20195379483180, no dia 21/01/19; 20195514225255, contestação 20195514597004 no dia 20/02/19 ; 20195488842915 dia 15/02/19)
As contas com vencimento no dia 25/03 e 25/04 também foi feita ligação e envio de e-mail para o atendimento PJ, mas informaram que o valor era devido sem explicar o por quê da alteração do valor, sem nenhuma explicação e sem base no contrato, conforme os protocolos abaixo: 20195749550301 ; 21240251000113.
Já esgotamos todos os diálogos com a empresa, que não apresentou nenhuma justificativa.
Contamos com a ajuda desse Órgão para que tenham mais sucesso com o retorno da Vivo.",https://cidadao.reclameaqui.com.br/413139/anatel-agencia-nacional-de-telecomunicacoes/cobranca-indevida-desde-marco-19/,2,2,6,2
42,ANATEL,"Quinta-feira, 11 de Abril de 2019 - 12:58",Não consigo achar no Reclame da Anatel um link para reclamar de telefones de telemarkitng.,"Boa Tarde?

Estou reclamando, porque tentei achar um campo na ANATEL, no seu site ou app para reclamar de 2 telefones, pois estão ligando faz 2 semanas aqui em casa, e contudo paralelo fiz a mesma reclamação ao PROCON, sem sucesso desse fato a seguir:
""Tenho através desse site, reclamar do serviço do SITE DO PROCON, e dizer que tenho vários protocolos de abertura de pedido de bloqueio de telemarketing dos números (11)28279766 e (11)28279757, sem ás devidas providências legais, causando ainda transtornos á minha família pois tenho uma pessoa convalhecendo de uma enfermidade e que seja dia ou madrugada ou de manhã esses telefones não para de tocarem.
Usam de artifícios mecanizados (computador) para procurar uma tal de ""tatiane"" que sabem que não residem aqui, porque devem a ele e não tem competencia de atualizar seus bancos de dados,e dando transtornos a pessoas de boa fe que trabalham e cuidam de pessoa doentes em casam, como tenho meu pai.
Exijo o bloqueio desses telefones e multa a empresa, pois um desses telefones aviso que era CLARO, e atendente Aline, o mais rápido possível, pois faz 2 semanas que estou pedindo um dia sim outro não em reclamações ao serviços do PROCON, sem resultado dessas ligações indevidas sobre o o bloqueio.
O problema é que tenho ás manifestaçoes á seguir: RB000144391; RB 000144132 E RB0000144634, sem as devidas soluções e gostaria de saber quando ás emdidas serão tomadas para que os numeros (11)28279766 e (11)28279757 sejam bloqueados e não nos pertubem mais?""
Contudo segue a minha reclamação: Fiz e refaço a vocês que a empresa CLARO, sendo uma vez com a atende Aline, ha qual se dizia,no RB 000144132, que fiz a reclamação sabia que não existia esse incomodo, e mesmo assim os telefones (11)28279766 e (11)28279757, ficam incomodando e pertubando a minha familia faz 10 dias. Pior meu pai esta doente e eles ligam de madrugada, a tarde, a noite, e preciso que bloqueiam os numeros (11)28279766 e (11)28279757, pois esta atrapalhando a recuperação do meu pai da doença.",https://cidadao.reclameaqui.com.br/412011/anatel-agencia-nacional-de-telecomunicacoes/nao-consigo-achar-no-reclame-da-anatel-um-link-para-reclamar/,2,3,6,1
50,ANATEL,"Quinta-feira, 04 de Abril de 2019 - 14:48",Arbitrariedade da Vivo,"Finalizei o contrato de prestação de serviços de 24 meses com a Vivo e a operadora renovou automaticamente o contrato sem a minha anuência. Passados 8 dias do fim do prazo de fidelização acima mencionado, entrei em contato para efetuar o cancelamento (protocolo 2019.5644.4998.91 em 21/03/19), e hoje, 04/04/19, ainda não consegui efetivar o cancelamento. O plano continha 41 linhas, sendo que 8 foram portadas pela Oi, sobraram 33. Destas, 19 estão sujeitas à multa, segundo a Vivo. Ao questionar o atendente, este não soube dizer onde estava escrito no contrato, que a renovação é automática e compulsória, me sujeitando ao pagamento de multa em caso de cancelamento após a renovação. Após o protocolo mencionado, vieram vários outros, sendo o último hoje, o de nº 2019.5703.4589.04, que também não se finalizaram porque, alegando a empresa imputação de multa, eu era obrigado a concordar que continuassem ativas. Gostaria de efetivar o cancelamento a partir de 21/03/19, quando fiz o primeiro contato, sem multas.",https://cidadao.reclameaqui.com.br/411283/anatel-agencia-nacional-de-telecomunicacoes/arbitrariedade-da-vivo/,2,1.5,6,1
58,ANATEL,"Sexta-feira, 29 de Março de 2019 - 14:05",solicitado mudança de endereço desde 13/03 e o mesmo nao foi providenciado,"boa Tarde...

Foi solicitado a mudança de endereço junto a Operadora OI no dia 13/03 com programaçao de instalação no dia 20/03. O Tecnico compareceu antecipadamente no dia 16/03, porem, nao poderia ser realizado nesta data visto que ainda precisava da linha fixa e da Internet no endereço antigo até a data do dia 20/03. Estamos instalados no novo endereço e até a presente data a Operadora nao conseguiu realizar a mudança de endereço... Foi relaizado solicitaçao junto a operadoras por diversas vezes, e nada resolvido. Esta é a segunda reclamaçao que realizo junto a ANATEL ( Protocolo da primeira reclamação junto a Anatel n.º 7941642019.

TELEFONE : 27 3343-0786

RAZAO SOCIAL : R.E. URSINI DOS SANTOS IDEAL CONTABILIDADE ME

CNPJ : 06.043.380/0001-28

Protocolos reclamaçoes junto a Operadora OI : 20191014059791 / 20191014909647 / 20191014909646 / 20191016490615 / 14219FR / 20191016772937

AGUARDANDO SOLUÇAO URGENTE",https://cidadao.reclameaqui.com.br/410658/anatel-agencia-nacional-de-telecomunicacoes/solicitado-mudanca-de-endereco-desde-13-03-e-o-mesmo-nao-foi/,2,2,5,2
11,ANS,"Segunda-feira, 18 de Junho de 2018 - 10:50",""" PADRÕES""","Bom dia.

Me chamo Átila tenho 31 anos e tenho 20% da minha visão esquerda e 40% da direita, a uma semana mandei para o convenio uma guia solicitando a autorização para uma cirurgia Refrativa, porem a mesma foi NEGADA pela convenio Ameplan.
Liguei no convenio para saber o por que a guia tinha sido negada, me disseram que eu não estou no Padrão que a AGENCIA NACIONAL DE SAÚDE determina, porem eu faço uma pergunta.

A ANS determinou que uma pessoa para realizar essa cirurgia tem que ter ate 6 graus, porem eu que tenho uma grau superior a 6 não posso fazer a cirurgia?
Engraçado, desde quando existe um PADRÃO para uma DEFICIÊNCIA, quem sabe se eu estou apto a fazer a cirurgia e meu medico e os exames que fiz para saber se podia ou não fazer esse procedimento, exames que também a ANS não acha valido ser liberado por uma convenio medico, tenho que pagar um absurdo de convenio e ainda pagar 350,00 em um exame que não esta dentro dos Padrões.
Se eu paga um convenio medico é por que eu preciso e não por que gosto de jogar dinheiro fora, pois foi o que eu fis durante esses 3 anos que paguei meu convenio, na hora que fui utilizar não valeu de nada.

Devido minha indignação contra ANS e o plano de saúde AMEPLAM, estou entrando com um processo judicial, pois é um ABSURDO estipularem PADRÕES de deficiências.

Aguardem, pois farei de tudo para que meu caso seja revisto.",https://cidadao.reclameaqui.com.br/381566/ans-agencia-nacional-de-saude-suplementar/quot-padroes-quot/,3,3.5,6,2
19,ANS,"Quarta-feira, 01 de Novembro de 2017 - 12:03",Atendimento necessário fora da lista da ANS,"Após cirurgia de coluna sem sucesso e problemas no quadril, necessito de tratamento hidroterápico orientado por todos os médicos especialistas que já consultei, porém o convênio Bradesco não disponibiliza essa terapia aos pacientes uma vez que o procedimento não faz parte da lista da ANS, no entanto eu preciso desse tratamento sistematizado uma vez que os exercícios devem ser realizado dentro da piscina, sem impacto e com profissional habilitado em fisioterapia.

Aguardo solução

Rosa Maria",https://cidadao.reclameaqui.com.br/352279/ans-agencia-nacional-de-saude-suplementar/atendimento-necessario-fora-da-lista-da-ans/,3,2,6,1
27,ANS,"Sábado, 11 de Março de 2017 - 06:42",A ANS é Socia dos Planos de Saúde,"Os reajustes autorizados por esta agencia do governo é um verdadeiro escarnio contra os segurados, os índices de aumento superam em muito a inflação, ano após ano. O REAJUSTE DO ANO PASSADO FICOU EM 13,57% PLANOS INDIVIDUAIS E 19,59 EMPRESARIAIS, isto é um assalto, o que é bem proprio do GOVERNO que não te um pingo de respeito a população.A curto prazo não teremos mais como pagar planos de saude, acorda, Ministério Público, orgaõs competentes para verificar o que está. A ANEEL roubou dois Bilhões da população, o IR, 84% da correção,e ANS todos os anos tira da população para enfiar no seu bolso e dos patrões assim não dá.",https://cidadao.reclameaqui.com.br/319753/ans-agencia-nacional-de-saude-suplementar/a-ans-e-socia-dos-planos-de-saude/,3,4,6,2
3,ANS,"Terça-feira, 19 de Fevereiro de 2019 - 09:09",falta de atendimento,"Bom dia ,
venho através desse comunicar a escassez dos serviços prestados a comunidade tirensse pela secretaria de educação desta cidade com 7 mil habitantes.
Entrei com encaminhamento para dermatologista a mais de 6 meses e ja fui a secretaria de saude 3 vesez para ter uma resposta de tanta demora em meu atendimento pois sou diabético tipo 2 e temo problemas mais sérios com minha saúde devido o tratamento de meu problema na pele não começar logo, peço aos orgaõs competentes tomar providencias para que minha consulta seja realizada.
34988744648 Emanoel.",https://cidadao.reclameaqui.com.br/406003/ans-agencia-nacional-de-saude-suplementar/falta-de-atendimento/,3,2,6,1
35,ANATEL,"Sexta-feira, 19 de Abril de 2019 - 12:41",Falta de suporte técnico.,"Boa tarde. a operadora Oi tem me causado transtorno com respeito a minha linha de telefonia fixa. Pois o telefone não está funcionando e eles só estão atendendo o suporte técnico quando a Anatel é acionada. e dias depois o problema volta e vc precisa fazer o procedimento outra vez. Fazendo valer o código de defesa do consumidor. Preciso saber da empresa se ela tem ou não condições de cumprir o contrato. De prestação de serviço, pois caso não suporte . Terá que cancelar o serviço gratuitamente.",https://cidadao.reclameaqui.com.br/412746/anatel-agencia-nacional-de-telecomunicacoes/falta-de-suporte-tecnico/,3,3,6,3
43,ANATEL,"Terça-feira, 09 de Abril de 2019 - 09:16",Cobrança,"Fiz o cancelamento do plano de internet fixa da Tim no dia 08/02/2019 ( Protocolo 142497638584), (Protocolo da ligação 2019150114997) a mesma não disse que teria um valor a mais pra pagar, na hora posso não ter me lembrado de pergunta, ficou por isso. No dia 26/02/2019 recebi uma mensagem informando sobre o não pagamento da fatura, sendo que tinha cancelado, no mesmo dia no meu horário de almoço, liguei falei com uma atendente sobre a mensagem de cobrança, a mesma disse que não tinha debito em meu nome, que era pra mim simplesmente ignorar (Protocolo 2019218894784), no mesmo dia informei que ainda estava com aparelho deles, atendente me transferiu (Protocolo 201921892823), agora que completou mais de mês do cancelamento, estou recebendo ligação de uma cobrança no valor R$ 54,53 e um absurdo, liguei lá novamente dia 08/04/2019 (Protocolo 2019389017159) para verificar novamente, e realmente esta pendente, isso uma falta de comunicação da empresa, pois corri atras quando veio a mensagem de cobrança. Nunca fiquei devendo nada na minha vida, agora acontece isso, o aparelho esta comigo ate hoje, e um descaso com nos consumidores, agendei para dia 13/04/2019 para irei buscar o aparelho, pois não quero problemas futuros. Peço que me ajudem, pois isso foi um descaso comigo, sendo que fui atras e não tive o retorno certo.",https://cidadao.reclameaqui.com.br/411716/anatel-agencia-nacional-de-telecomunicacoes/cobranca/,3,3,6,1
51,ANATEL,"Quinta-feira, 04 de Abril de 2019 - 11:31",CONTRATOS,"Sres., Bom Dia!!! Em 21/1/19 contratei junto a VIVO um plano sob os protocolos 22/01/2019-7254236 que abrange duas linhas telefônicas, uma analógica e outra digital e uma internet de 200mb a uma mensalidade de R$ R$ 209,99, com vencimentos todo dia 25, conforme contrato recebido através de e-mail, ocorre que em 26/3/19 recebi três faturas, uma vencida, no valor de R$ 139,62 referentes a uma linha telefônica e a internet de 200mb e outras duas referentes as linhas (11) 5061-0568 e (11) 5061-1422 ambas nos valores de R$ 67,50 com vencimentos em 27/3/19, desta forma a soma dessas contas não condiz com o contrato realizado, gerando uma diferença de R$ 64,63, solicitei contato com a VIVOe os informei da divergência, porém até o momento não obtive retorno, e hoje pela manhã recebi a chamada do Sr. Carlos da empresa Service, como representante da VIVO referente a cobranças das referidas contas, estava com outra operadora onde nunca tivemos problemas, recebemos o representa da VIVO que nos ofereceu o plano, muito atencioso por sinal, para na primeira conta ter esse dissabor??? Lamentável.... Assim solicito o parecer o mais rápido possível.",https://cidadao.reclameaqui.com.br/411252/anatel-agencia-nacional-de-telecomunicacoes/contratos/,3,3.5,6,3
59,ANATEL,"Quinta-feira, 28 de Março de 2019 - 15:23",Não consigo falar no telefone para registro de reclamação da ANATEL 1331,"Boa Tarde

Preciso registrar uma reclamação contra a empresa de Telefonia OI pelo não cancelamento de um serviço porém o serviço telefônico da ANATEL não funciona (não atendem).

O que devo fazer?

Obrigado.

Guilherme",https://cidadao.reclameaqui.com.br/410569/anatel-agencia-nacional-de-telecomunicacoes/nao-consigo-falar-no-telefone-para-registro-de-reclamacao-da/,3,1,6,0
12,ANS,"Sexta-feira, 15 de Junho de 2018 - 20:34",SISTEMA FALHO PARA GERAR O BOLETO DE PAGAMENTO - AMIL,"Boa noite.

Venho por meio deste reclamar a dificuldade que tive em gerar o boleto atualizado para efetuar o pagamento do meu plano de saúde da Amil referente ao mês de ABRIL/2018, tentei gerar ontem o boleto no dia 14/06 a tarde e a informação que o sistema da Amil me fornecia era de que de 30 a 40 dias não era necessário gerar um novo boleto, tentei paga online e não consegui.
Preciso do boleto de ABRIL/2018 atualizado, vocês estão errados em impossibilitar uma atualização do boleto uma vez que NÃO houve atraso de 60 dias.
Já estive na Amil alterando meu endereço, e nada foi feito, meus boletos não chegam em minha residencia e sempre tenho que puxar no site.


AMIL BLUE300
NOME: MARILDA DE ARAUJO BRASIL
Nº DO BENEFICIO: 19081392 0

Preciso destas informações atualizadas.",https://cidadao.reclameaqui.com.br/381416/ans-agencia-nacional-de-saude-suplementar/sistema-falho-para-gerar-o-boleto-de-pagamento-amil/,4,2,5,3
20,ANS,"Segunda-feira, 25 de Setembro de 2017 - 19:39",Cancelamento de contrato com a UNIMED em 2014 e cobrança em 2017!,"Encerrei o contrato com a UNIMEDRIO em 04/06/2014, tendo recebido um e-mail deles com a confirmação de cancelamento. Fiz um plano da AMIL e consegui levar a carência do plano da UNIMED POIS O CAMCELAMENTO FOI EFETIVADO. Agora em 2017 recebi uma carta da UNIMED dizendo que tenho um dúvida com eles desde 2014!!! Não entendi porque não me mandaram um boleto em 2014 cobrando o plano e dizendo que ainda estava ativo e somente agora em 2017 informam esse absurdo! Qual a razão de eu pagar dois planos ao mesmo tempo? Isso é um completo absurdo é uma tentativa desesperada da UNIMED em conseguir dinheiro e postergar sua falência! Isso é pura má-fé e com certeza em uma ação judicial cabe danos morais. Fiz um protocolo de reclamação na UNIMED e sequer me deram previsão de respostas Número do protocolo: 39332120170925060474 (Atendente Patricia)",https://cidadao.reclameaqui.com.br/348316/ans-agencia-nacional-de-saude-suplementar/cancelamento-de-contrato-com-a-unimed-em-2014-e-cobranca-em/,4,4,5,1
