orgao,link,titulo,reclamacao
NA,https://cidadao.reclameaqui.com.br/304151/ministerio-da-saude/mamografia-sisreg/,mamografia(sisreg) ," 
        PREZADOS SENHORES BOA TARDE,
NO DIA 08/07/2016 MINHA ESPOSA NEIVA DE SOUZA PROENÇA NASCIDA NO DIA 12/08/1964 CARTÃO DO SUS :898004028246832 CUJA MÃE CHAMA-SE MAIRY DE SOUZA PROENÇA SOLICITOU UM EXAME DE MAMOGRAFIA E DESDE ESTA DATA,AGUARDA ANSIOSAMENTE TAL EXAME. QUE FOI MARCADO DENTRO DO CENTRO  MUNICIPAL DE SAÚDE  MARIA AUGUSTA ESTRELLA LOCALIZADO NO BAIRRO DE VILA ISABEL NO RIO DE JANEIRO.FOI DITO A MESMA QUE ELA SERIA CHAMADA ONLINE ATRAVÉS DO SISREG. O FATO É QUE ELA FOI AO HOSPITAL DO ANDARAI NO DIA 20/10/2016 E FOI DITO A MESMA QUE EXISTEM VAGAS SOBRANDO PARA QUE A MAMOGRAFIA SEJA FEITA.  ENTÃO A PERGUNTA QUE FICA É:O PORQUE DA DEMORA?
GRATO
WILLI MENDEL         "
NA,https://cidadao.reclameaqui.com.br/337513/ministerio-da-saude/falta-de-remedio-e-insumos-nos-postos-de-saude-e-farmacia-do/,falta de remédio e insumos nos postos de saúde e farmácia dos hospitais ," 
        gostaria que esta secretaria olhasse para estas pessoas que não podem comprar seus remédios , e ficam sem tomar seus medicamentos que são de suma importância para sua saúde sabendo-se que nossos governantes dizem que repassam verbas suficiente para a compras necessária de insumos e remédios, então peguntamos : qual e o problema da falta da compra que precisamos ? é incompetência do comprador ? a falta de fiscalização ou má administração do responsável pela secretaria de saúde ? segue a relação dos medicamento e insumos que precisamos para uso contínuo : fitas para medição de glicemia , seringas , isossorbida 40 mg , sinvastatina 20 mg , maleato de enalapril , hidralazina 25 mg , varfarina , doxazosina , colecalciferol vitamina D solúvel , complexo B , vitamina D 3 , carbonato de cálcio , polivitamínico . e, outros . A população grita por socorro . estando a espera de uma resposta . rtampelisanchez@bol.com.br         "
NA,https://cidadao.reclameaqui.com.br/325088/ministerio-da-saude/hospital-nossa-senhora-do-pari/,HOSPITAL NOSSA SENHORA DO PARI ," 
        Venho através deste manifestar minha profunda insatisfação e indignação com relação ao atendimento prestado no hospital.
Acredito que grande parte das pessoas já conheçam a história, mas faço questão de formalizar!
No mês de Nov/2016, minha vó realizou uma colocação de prótese no quadril devido à atrose total de quadril (ATQE), 03 dias após a cirurgia teve alta e foi para casa ainda tomando antibiótico (Cefalexina). 
Ao término do antibiótico (07 dias depois), ela começou a referir febre altíssima e grande sangramento na região da cirurgia. Em seu retorno em Dez/16, o Dr. Eduardo a internou novamente para que fosse realizada uma limpeza no local e uma cultura para saber qual o tipo da bactéria, Até o momento, tudo ok!
Após a nova cirurgia e com o laudo da cultura do material em mãos, verificamos que a bacteria contraída trata-se de uma infecção hospitalar denominada (Acinetobacter Baumannii ).
Até que o resultado da cultura do exame ficasse disponível, ela estava sendo tratada com Fortaz e Vancomicina, uma vez que não era possível identificar se a bactéria era Gram Positiva ou Gram negativa, sendo assim os médicos estavam atacando para os dois focos.
Após o resultado do exame, pode-se saber que tratava-se de uma bactéria do tipo Gram Negativa e dentre os antibióticos testados apenas o Fortaz era sensível à bactéria. Com o resultado do exame em mãos, a Dra. Keilla Mara de Freitas CRM  50939, continuou ministrando o medicamento Vancomicina (O qual não foi testado e não poderia ser administrado); Quando observei que o enfermeiro iria administrar uma medicação não eficaz para a bactéria contraída, imediatamente procurei o Dr. Gustavo que prontamente entrou em contato com ela informando que o medicamento não poderia ser administrado e então ela por telefone pediu que ele suspendesse a medicação do prontuário.
Pergunta 1 – Como um médico analisa um exame, sabe qual medicamento não pode ser administrado e ainda assim o faz?
….
Após esse episódio, minha vó ainda internada tive que me ausentar por um dia do hospital e minha mãe a acompanhou neste dia. No mesmo dia, período da tarde entrei em contato com minha mãe apenas para saber como minha vó estava e naquele momento ela me disse a seguinte frase: Está tudo bem, estão administrando o antibiótico CEFALEXINA! Eu de imediato pedi que ela não deixasse o enfermeiro administrar e procurasse um médico no pronto socorro, pois na cultura do exame havia o resultado de que Cefalexina não era sensível à bacteria que ela contraiu. 
Quando minha mãe encontrou o médico Dr. Eduardo, pedi que ela colocasse o telefone no viva voz e perguntei a ele o porque ele tinha alterado a prescrição. Perguntei se de fato ele sabia ler!!!! Ele apenas disse que não poderia falar por telefone, mas que ainda bem que estávamos espertas e então alterou a prescrição para o que era correto: FORTAZ!!!! Oi? Ele é o medico e eu quem tenho que estar esperta com os medicamentos que administram nos pacientes do hospital?
Pergunta 2 – Como um médico altera uma prescrição de antibiótico sem ler o resultado do exame?
….
Passado 30 dias de internação, minha vó teve alta e continuamos o tratamento em casa, realizamos a colocação do PICC e há cada 12 horas o enfermeiro comparecia para administrar a medicação: FORTAZ!
Há cada 15 dias havia o retorno com a Dra. Keilla que por inúmeras vezes não sabia responder os nossos questionamentos em relação à infecção e transferia a responsabilidade para o ortopedista.
Ela chegou a mencionar que infelizmente não havia comunicação entre as áreas (Infectologia e ortopedia) e que ela era apenas uma consultora do hospital, por isso não podia fazer muito.
Simplesmente respondi à ela que consultora, interna ou externa do hospital ela era médica e deveria saber responder perguntas que são de responsabilidade de sua área de especialização e que em relação à cominucação eu iria ajudá-la; Fui ao pronto socorro, abordei um médico (Dr. Celso) e pedi que fosse ao consultório dela e somente assim, depois que agi dessa forma ela começou a responder as perguntas feitas por nós, porém ela nunca nos deu uma resposta concreta, sempre trabalhou com hipóstese!
Após tomar antibiótico por um ciclo de 06 semanas a Dra. Keilla fez a suspensão do mesmo a fim de verificar se a infecção havia cedido, passado o período de 03 semanas sem antibiótico, pudemos avaliar com o resultado do PCR que a infecção não havia sido eliminada e o índice do exame estava altíssimo 96.8mg/l, quando o resultado normal deve ser de 5mg/l. Diante deste cenário ela sugeriu uma tomografia (Não entendo o motivo, pois a tomografia não visualiza as partes moles, somente avalia a prótese) e informou que após o resultado da tomografia ela deveria retornar em consulta para retomar o medicamento. Apenas uma observação neste parágrafo a consulta onde houve a sugestão da tomografia foi no dia 06/03/2017 e o retorno agendado era para 27/03/2017, ou seja, com um nível de infecção altíssimo ela iria deixar o paciente aguardar quase um mês sem medicação? Porque?
Quando ela passou essa informação, no mesmo momento indaguei se seria adequado a paciente ficar tanto tempo sem medicação, uma vez que a infecção estava ali, ativa! Ela se calou, refletiu e verbalizou: Realmente, não é viável. Vamos retornar a medicação hoje mesmo!
Pergunta 3 – Como uma médica quer deixar um paciente sem medicação quando há necessidade? Esperando que o acompanhante do paciente dê a “ideia” de medicá-la para que ela diga: Hmmmm, verdade! Precisamos medicar neste período.
….
Em todas as consultas com a Dra. Keilla, ela sempre sugere que a prótese seja retirada informando que somente assim a infecção será combatida, porém o ortopedista sempre afirma que não há necessidade de retirar, pois a mesma não apresenta nenhum problema do ponto de vista ortopédico. Diante deste cenário acredito que seja necessário uma consulta conjunta (Infecto + Ortopedista), uma vez que o caso deve ser compreendido e decidido em conjunto.
Indaguei a Dra. Keilla se retirarmos a prótese se realmente a infecção seria combatida e a responsta foi: Não Sei!
Pergunta 4 - Como ela pede para retirar a prótese, visto que não sabe se a infecção será combatida? É um teste? ( Fazendo a retirada da prótese, minha vó ficará com a perna mais curta, com dificuldade de andar e precisando utilizar sapato especial).
….
Sei que quando chegarmos na consulta com a infecto no dia 27/03 ela dirá que precisa tirar a prótese, porém vai aguardar a consulta com o ortopedista no dia 29/03 para tomar uma decisão e por sua vez o ortopedista manterá a opinião de que a prótese está boa e não há necessidade de fazer a retirada. Neste caso, vai continuar o “jogo de empura empura”. Isso é desgastante para o paciente e não resolve o problema. Reitero que a bactéria continua ativa no organismo e até agora não foram capazes de informar em qual local está instalada ou se já está se espalhando.
Pergunta 5 – Se o caso deve ser definido em conjunto (Orotpedista + Infectologista), porque não agendaram o atendimento para o mesmo dia? Ressalto que a paciente está com a mobilidade reduzida e tem que descer escadas para se locomover e ainda assim tem que se deslocar dois dias seguidos? Quero uma resolução!
….
Dentro de toda a história mencionada acima, ressalto que por conta da falta de informações,  má vontade, os medicamentos administrados de forma errada e todos os exames solicitados foram pagos de forma particular, exames de sangue, PICC, raio X, tomografia, tudo feito particular, ou seja, além de estarmos desembolsando uma fortuna continuamos sem respostas. 
Pergunta 6 – Vocês acham que estão brincando de medicina? Acham que a vida é substituível? Acham que dinheiro dá em árvore? Acham correto os médicos não terem um parecer sobre o caso? Acham certo não haver comunicação entre as áreas co relacionadas?
….
Além de tudo, tive que ouvir por diversas vezes que se não estamos satisfeitos deveríamos procurar um hospital particular!! Completamente absurdo!!!!
- O período em que estive no hospital Nov/2016 à Jan/2017 pude verificar que grande parte dos pacientes que realizam cirurgia de membros inferiores retornam infectados; diante do cenário crítico e gravíssimo peço gentilmente que a Vigilância Sanitária realize uma inspeção no centro cirúrgico do hospital, visto que as bactérias contraídas são de origem HOSPITALAR ( H-O-S-P-I-T-A-L-A-R.) Não sei se as bactérias estão no ambiente, nos instrumentos, equipamentos, macas ou até mesmo na higienização pessoal dos profissionais e justamente por isso que peço encarecidamente que seja feita uma inspeção, pois o índice de pacientes que retornam infectados após as cirurgias é assustador!!!!
- Peço também ao Conselho Regional de Medicina que avalie a conduta prestada pela Dra. Keilla Mara de Freitas, pois ela não demonstra eficiência e competência diante de casos graves! E peço atenção ao Dr. Eduardo (O hospital pode prestar informações de nome completo e CRM), que alterou a prescrição médica para um medicamento não testado.
- Fica aqui ao Hospital Nossa Senhora do Pari a minha profunda indignação e registro que acionarei o hospital, pois tenho o prontuário e todos os exames que comprovam que a bactéria é HOSPITALAR e que o atendimento para um bom prognóstico foi precário e completamente omisso!!
Fico à disposição nos telefones abaixo e aguardo uma solução imediata para o caso, pois estamos lidando com VIDAS e não com bonecas!!!!
•	As denúnicas acima também serão realizadas nos orgãos responsáveis mencionados na cópia do e-mail e nos orgãos de defesa do consumidor!         "
NA,https://cidadao.reclameaqui.com.br/333568/ministerio-da-saude/site-do-sgp-programa-mais-medicos-instavel-gerando-atraso-de/,"Site do SGP (Programa Mais Médicos) instável, gerando atraso de 2 meses de bolsa "," 
        Meu nome é Francisco Edilson Silva Aragão Júnior, sou médico participante do Programa Mais Médicos alocado no município de Uruburetama/CE  e venho relatar a lamentável situação de atraso salarial e total descaso por parte do Ministério da Saúde em resolver a situação. Já faz 2 meses que trabalho com salário atrasado pelo simples fato de não ter sido cadastrado no SIAPE (folha de pagamento) e não ter acesso ao sistema SIGEPE/SIGAC (aplicativo onde visualizamos os contra-cheques). Depois de inúmeras tentativas de contato por telefone/emails e inúmeros prazos dados para o pagamento, fui informado  de que a minha conta era inválida e que por isso não me cadastraram na folha de pagamento. No mesmo dia fui ao Banco do Brasil e me certifiquei de que a conta estava ATIVA e sem qualquer problema! Mesmo assim criei uma conta nova no intuito de resolver a situação. Porém, incrivelmente, quando tento atualizar meus dados bancários no SGP (sistema onde ficam registrados os dados cadastrais do Programa Mais Médicos) o site apresenta problema (justamente na aba dados bancários, algo bem conveniente). Acontece que tento contactar de todas as formas possíveis (telefone, email, abertura de protocolos e eles simplesmente não resolvem a situação, já enviei email inclusive relatando que o site está com problema e enviando a nova conta para inclusão manual no sistema. Se eles alegam que é obrigação do médico manter os dados atualizados, deveriam pelo menos manter o site funcionando para que possamos enviar os dados). Tive que procurar o Sindicato dos Médicos do Ceará para iniciar uma notificação extra-judicial, que pelo visto não surtiu qualquer efeito. A situação se repete com inúmeros médicos no Brasil e inteiro e a justificativa que eles dão é que ""uma nova tentativa de inclusão será feita na próxima folha de pagamento, e os salários retroativos serão pagos com intervalo de 30 dias a partir da inclusão do primeiro salário. Pedimos desculpas pelo POSSÍVEL transtorno gerado"". Absurdo isso!! Eles nem sequer fizeram meu cadastro e estou sem qualquer perspectiva de receber até o mês de junho!         "
NA,https://cidadao.reclameaqui.com.br/353390/ministerio-da-saude/descaso-com-ordem-judicial/,DESCASO COM ORDEM JUDICIAL ," 
        a MINHA FILHA É PORTADORA DE NECESSIDADES ESPECIAIS E ENTREI COM UM PROCESSO JUNTO Á JUSTIÇA FEDERAL HÁ 02 ANOS E MEIO(ELA HOJE TEM 15 ANOS) PARA AQUISIÇÃO DO CANABIDIOL. É UM DIREITO.ESTÁ NA CONSTITUIÇÃO. PROCESSO 50172779820154047200. RECEBEMOS POR 02 MESES O HEMPMEDS OIL E PAROU. A ÚLTIMA REMESSA FOI EM 03/08/17 E TELEFONO TODAS AS SEMANAS PARA O NÚMERO(61)33152296(ONDE FAZEM A COMPRA DE REMÉDIOS POR DEMANDA JUDICIAL) E A RESPOSTA QUE RECEBO É DE QUE NÃO AUTORIZARAM A COMPRA. E AÍ COMO FICA A MINHA FILHA? a QUEM DEVO PROCURAR? O QUE DEVO FAZER? INFELIZMENTE ELA PRECISA DESSE REMÉDIO. ELA TEM PLANO DE SAÚDE (GRAÇAS A DEUS), POIS ELA FEZ DUAS CIRURGIAS, UMA DE ALTO RISCO DE VIDA (QUE O SUS NÃO OFERECE-CALOSOTOMIA E A COLOCAÇÃO DO VNS-APARELHO PARA CONTER CRISES)TUDO PELO PLANO DE SAÚDE,POIS SE ESTIVESSE ESPERANDO PELO SUS,NÃO SEI SE MINHA FILHA ESTARIA AQUI CONOSCO. AGORA NOSSA BATALHA É NOS ENVIAREM O REMÉDIO,QUANDO PENSAMOS AGORA VAI E O GOVERNO DÁ PARA TRÁS? AGORA QUE ESTAMOS VENDO UM PROGRESSO NO SEU DESENVOLVIMENTO, NA SUA SAÚDE(AS CRISES DIMINUIRAM E BASTANTE) O PROGRESSO QUE ELA TEVE VAI REGREDIR? QUE GOVERNO É ESSE? QUE NÃO PREZA PELA SAÚDE DOS SEUS?  CADÊ OS IMPOSTOS QUE PAGO? SAÚDE,EDUCAÇÃO E SEGURANÇA, NÃO É PARA ISSO QUE PAGO?         "
http://www.mc.gov.br ,https://cidadao.reclameaqui.com.br/229409/ministerio-das-comunicacoes/correios-exemplo-de-degradacao-a-preco-de-ouro/,CORREIOS EXEMPLO DE DEGRADAÇÃO A PREÇO DE OURO ," 
        Os CORREIOS cada dia que passa cobra mais caro e piora seus serviços, moro em Vila Valqueire, Rio de Janeiro, um bairro calmo e seguro e ainda a sim não estou recebendo minhas contas e correspondências em dia. O carteiro Sr. Alcir é excelente mas quando fica doente ou entra de férias os CORREIOS colocam para substituir pessoas totalmente despreparadas das terceirizadas (apadrinhadas) e é o caos total !!!!!!!
O BRASILEIRO É ESCRACHADO PELO PUBLICO E PRIVADO !!!!!!!         "
http://www.mc.gov.br ,https://cidadao.reclameaqui.com.br/295590/ministerio-das-comunicacoes/nao-recebimento-do-ar-correspondencia-enviada/,Não recebimento do AR correspondência enviada ," 
        Somos da Imobiliária Catarina Imóveis na cidade de Sete Lagoas/MG.
Enviamos uma Carta Extra Judicial a um Cliente, claro no aguardo do retorno do AR..porém, não houve retorno.Considerando o fato de que precisamos entrar com Ação de despejo deste Cliente é necessário ter anexado esse ""AR"". Entramos em contato com os correios mais os mesmo não nos passam uma previsão de recebimento da 2ª via do AR.
A partir do momento que pagamos um valor a mais para envio de uma correspondência especial, fica difícil, qaundo na hora em que mais precisamos do Serviços de um Órgão como os CORREIOS, não obtermos atendimento a contento.
Precisamos urgente de uma solução.
No aguardo 
Patrícia G. Ciaccio
IMOBILIÁRIA CATARINA IMÓVEIS - SETE LAGOAS MG         "
http://www.mc.gov.br ,https://cidadao.reclameaqui.com.br/346223/ministerio-das-comunicacoes/pagamento-nao-realizado/,Pagamento não realizado ," 
        O pagamentos dos aposentados e pensionistas do Ministério das Comunicações sempre foi feito no primeiro dia útil do mês. Porém até o momento o pagamento deste mês não entrou. Não há nenhuma informação disponibilizada justificando o atraso. 
O site (que mudou, diga-se de passagem) está indisponível. Telefonei ao Ministério em São Paulo e o atendente disse que é normal o atraso (nunca!) e que eu aguarde pois alguma hora o pagamento vai sair. Não tenho onde reclamar. Dependo dessa pensão para comer e comprar medicamentos. Por favor alguém me informe o que está acontecendo.         "
http://www.mc.gov.br ,https://cidadao.reclameaqui.com.br/283917/ministerio-das-comunicacoes/nao-respondem-a-mensagens/,Não respondem a mensagens ," 
        Faz 1 ano que mandei mensagens e pedido de esclarecimentos e ajuda em relação à Claro e até hoje não responderam às mensagens.         "
http://www.mc.gov.br ,https://cidadao.reclameaqui.com.br/230126/ministerio-das-comunicacoes/mau-servico-dos-correios/,Mau serviço dos Correios ," 
        Os Correios atualmente faz pouco caso do consumidor. Minha encomenda ""PD167874082BR"" tem mais de um mês e ainda não foi entregue, acho que perderam. Tem mais de 1 mês vindo de Recife/PE para Maceió/AL. Já reclamei no ""Fale com os Correios"" e na ""Ouvidoria"" (Código da Reclamação: 32367315) e nada de resolver o meu problema. Ninguém me informa nada.         "
NA,https://cidadao.reclameaqui.com.br/353280/inss-ministerio-da-previdencia-social/registro-de-contribuicoes-previdenciarias/,Registro de Contribuições Previdenciárias ," 
        Prezados,
Houve uma mudança no sistema informatizado da previdência, que gerou o desaparecimento de vários registros de contribuições efetuados em períodos anteriores a 2003. Verifiquei isto, pois no antigo sistema estava tudo muito bem registrado, e pelo que constatei, estas inconcistencias ainda não foram corrigidas, que acredito sejam possíveis de serem resgatadas, a partir de processamento de dados da Base de dados anterior a nova versão. Solicito prazo para solução desta pendência, com o objetivo de melhor atendimento aos contribuintes, sem a necessidade de haver perda de tempo quando no atendimento presencial nos postos da Previdência Social, assim como uma melhor eficiência nos processos internos da instituição.
Atc.
Marco Tobler
NIT: 11427987690         "
NA,https://cidadao.reclameaqui.com.br/354600/inss-ministerio-da-previdencia-social/resposta-da-minha-posentodoria/,RESPOSTA DA MINHA POSENTODORIA ," 
        EU IVONE MARIA SANCHES, DEI ENTRADA NO DIA 03/10/17 NA AGÊNCIA DE CARAPICUIBA/SP NA MINHA APOSENTADORIA, E ATÉ O PRESENTE MOMENTO, DIA 22/11/17, NÃO TIVE RESPOSTA, JÁ FALEI NO 135 E FIZERAM UMA RECLAMAÇÃO NA OUVIDORIA, MAS NEM ASSIM CONSIGO SABER O RESULTADO., ACHO QUE TENHO DIREITOS DE SABER, POR FAVOR ME ENVIE ESTE RESULTADO, POIS O TEMPO DE ESPERA É SOMENTE DE 45 DIAS.
GRATA,
IVONE MARIA SANCHES         "
NA,https://cidadao.reclameaqui.com.br/354778/inss-ministerio-da-previdencia-social/inss-ouvidoria-e-apoia-as-instituicoes-bancarias/,Inss ouvidoria e apoia as instituições bancárias ," 
        Ouvidoria completo descaso, fiz várias reclamações, a resposta é sempre automática Indeferida, tenho um desconto junto ao banco  Pan sobre o título do EMPRÉSTIMO E SOBRE RMC 128,90 no valor de 128,90, o banco alega que fiz o empréstimo, então solicitado o contrato o mesmo envia um contrato de de cartão de crédito de 1988 o qual foi foi cancelado, sendo que o desconto foi reclamado e de setembro de último, como se eu o fizesse pois nunca foi feito ou solicitado, mas então se eu não o fiz por onde eu esta o contrato assinado e onde foi tal valor foi creditado          "
NA,https://cidadao.reclameaqui.com.br/353114/inss-ministerio-da-previdencia-social/atendimento/,ATENDIMENTO ," 
        Com o falecimento do meu pai, fui com a minha mãe que tem 87 anos para solicitar a pensão por morte. Aqui em Sete Lagoas/MG, o INSS só envia as pensões para o Banco Mercantil, que tem um atendimento horrível, que gasta em média 02:30 (duas horas e meia) para cada atendimento. A minha mãe já possui conta no Bradesco. É um absurdo o INSS não enviar a pensão, para o banco que o contribuinte solicita. Vcs não sabem o que é levar uma pessoa idosa de 87 anos com dificuldade de locomoção, à uma instituição financeira que não tem menor respeito com as pessoas.         "
